emoji1,emoji2,paircount
PIZZA,HOT-BEVERAGE,1
RUNNING-SHOE,HOT-BEVERAGE,1
BICYCLE,HOT-BEVERAGE,1
COCKTAIL-GLASS,NIGHT-WITH-STARS,1
CONFETTI-BALL,NIGHT-WITH-STARS,1
CONFETTI-BALL,COCKTAIL-GLASS,1
FEMALE-SIGN,BLOND-HAIRED-PERSON,1
OWL,BLOND-HAIRED-PERSON,1
ENVELOPE,BLOND-HAIRED-PERSON,1
OWL,FEMALE-SIGN,1
ENVELOPE,FEMALE-SIGN,1
MOUNT-FUJI,FEMALE-SIGN,1
PERSON-RUNNING,FEMALE-SIGN,1
LEAF-FLUTTERING-IN-WIND,FEMALE-SIGN,1
ENVELOPE,OWL,1
CITYSCAPE-AT-DUSK,SUSHI,1
HAMBURGER,GUITAR,1
EVERGREEN-TREE,SUNRISE-OVER-MOUNTAINS,1
RHINOCEROS,SUNRISE-OVER-MOUNTAINS,1
SUN,SUNRISE-OVER-MOUNTAINS,1
RUNNING-SHOE,SUNRISE-OVER-MOUNTAINS,1
BICYCLE,SUNRISE-OVER-MOUNTAINS,1
RHINOCEROS,EVERGREEN-TREE,1
CANADA,SUN,1
HIGH-VOLTAGE,SUN,1
RUNNING-SHOE,SUN,1
BICYCLE,SUN,1
HIGH-VOLTAGE,CANADA,1
SNOWFLAKE,CANADA,1
ICE-HOCKEY,CANADA,1
DIZZY,POULTRY-LEG,1
MOSQUE,POULTRY-LEG,1
SHALLOW-PAN-OF-FOOD,POULTRY-LEG,1
MOSQUE,DIZZY,1
SHALLOW-PAN-OF-FOOD,DIZZY,1
SHALLOW-PAN-OF-FOOD,MOSQUE,1
MEDIUM-LIGHT-SKIN-TONE,VICTORY-HAND,1
RED-HEART,VICTORY-HAND,1
SLOT-MACHINE,VICTORY-HAND,1
WEDDING,VICTORY-HAND,1
RED-HEART,MEDIUM-LIGHT-SKIN-TONE,1
SLOT-MACHINE,MEDIUM-LIGHT-SKIN-TONE,1
WEDDING,MEDIUM-LIGHT-SKIN-TONE,1
NETHERLANDS,MEDIUM-LIGHT-SKIN-TONE,1
PERSON-BIKING,MEDIUM-LIGHT-SKIN-TONE,1
PERSON-TAKING-BATH,MEDIUM-LIGHT-SKIN-TONE,1
HOUSE,MEDIUM-LIGHT-SKIN-TONE,1
SLOT-MACHINE,RED-HEART,1
WEDDING,RED-HEART,1
WEDDING,SLOT-MACHINE,1
PIZZA,DIRECT-HIT,1
CHEQUERED-FLAG,KISS,1
AUTOMOBILE,KISS,1
AUTOMOBILE,CHEQUERED-FLAG,1
SMILING-FACE-WITH-OPEN-MOUTH-,ZZZ,1
BRIGHT-BUTTON,ZZZ,1
SUNFLOWER,SHIP,1
PERSON-BIKING,NETHERLANDS,1
MONKEY-FACE,PERSON-BIKING,1
TENT,PERSON-SWIMMING,1
BRIGHT-BUTTON,SMILING-FACE-WITH-OPEN-MOUTH-,1
HOUSE,PERSON-TAKING-BATH,1
PERSON-RUNNING,MOUNT-FUJI,1
LEAF-FLUTTERING-IN-WIND,MOUNT-FUJI,1
LEAF-FLUTTERING-IN-WIND,PERSON-RUNNING,1
LOCOMOTIVE,INDIA,1
ICE-HOCKEY,SNOWFLAKE,1
BICYCLE,RUNNING-SHOE,1
